competitorName,featureName,category,hasFeature,quality,implementationQuality,notes,website,description,industry,featureDescription,priority
Binance Global,Web App,Platform,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Web App özelliği,high
Binance Global,Mobile App,Platform,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Mobile App özelliği,high
Binance Global,Desktop App,Platform,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Desktop App özelliği,low
Binance Global,Corporate Registration,Other,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Corporate Registration özelliği,low
Binance Global,Stocks & Commodity and Forex Trading,Trading,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Stocks & Commodity and Forex Trading özelliği,low
Binance Global,Tokenized Stocks,Other,No,none,none,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Tokenized Stocks özelliği,low
Binance Global,Global Customers,Other,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Global Customers özelliği,low
Binance Global,Crypto as a Services,Other,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Crypto as a Services özelliği,low
Binance Global,Own Stablecoin,Advanced,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Own Stablecoin özelliği,low
Binance Global,Own Chain,Advanced,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Own Chain özelliği,low
Binance Global,Own Card,Advanced,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Own Card özelliği,low
Binance Global,Sign up with Bank,Authentication,No,none,none,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Sign up with Bank özelliği,low
Binance Global,Sign in with Bank,Authentication,No,none,none,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Sign in with Bank özelliği,low
Binance Global,Sign in with Passkey,Authentication,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Sign in with Passkey özelliği,low
Binance Global,Sign in with Gmail,Authentication,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Sign in with Gmail özelliği,low
Binance Global,Sign in with Apple,Platform,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Sign in with Apple özelliği,low
Binance Global,Sign in with Telegram,Authentication,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Sign in with Telegram özelliği,low
Binance Global,Sign in with Wallet,Authentication,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Sign in with Wallet özelliği,low
Binance Global,Login with QR,Authentication,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Login with QR özelliği,low
Binance Global,Public API,Services,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,Public API özelliği,high
Binance Global,AI Sentimentals,Other,Yes,excellent,excellent,Coverage Score: 88.4% - Global platform,https://binance.com,Binance Global - Global kripto platformu,Cryptocurrency Exchange,AI Sentimentals özelliği,low
